Date,CRM,BAC,MCD,WMT,PFE,COST,KO,PEP,MRK,CVX,HD,MA,AVGO,PG,LLY,V,JPM,JNJ,XOM,UNH,META,TSLA,GOOG,GOOGL,NVDA,AMZN,MSFT,AAPL
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,114.45738,,,,,
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,115.38838,109.63738,,166.73798,,
2022-08-05,,,,,,,,,,,,,,,,,,,,,,283.6208,115.86165,109.995224,,168.25116,,
2022-08-08,,,,,,,,,,,,,,,,,,,,,,283.28842,115.70859,109.96381,,169.01335,,
2022-08-09,,,,,,,,,,,,351.97043,,,,,,,,,,289.34485,116.300865,110.71942,,170.48485,,
2022-08-10,,,,,,,,,,,,353.3045,496.2452,,,,,,,,,292.9312,116.93912,111.2919,,170.68173,,140.84999
2022-08-11,,,,,,,,,,,278.06265,353.7046,496.11188,,,,,,,,,294.52124,117.359665,111.643745,,171.84058,,141.09735
2022-08-12,,,,,,,,,,,277.64688,352.76538,495.39368,,,,,,,,,294.45016,117.39114,111.73198,,172.0012,,141.15422
2022-08-15,,,,,,,,,,,277.0004,350.50385,494.0799,,,,,,64.18491,,219.10226,292.97955,117.102104,111.63931,,172.50327,,141.08153
2022-08-16,243.80711,,,,,,,,,,277.72806,351.3777,495.41025,,,,,,64.008835,418.77393,221.92888,298.28125,117.6512,112.39946,,173.49364,,141.30751
2022-08-17,244.89351,,,146.24559,,441.6509,,,,,277.43558,352.898,496.68173,,,219.77301,,,64.1397,419.36307,224.23161,301.50623,118.36224,113.08085,,173.91995,,141.79243
2022-08-18,244.5367,,,146.87808,,442.37656,,,,97.3681,277.5523,353.13104,496.1584,,,220.3525,,,64.17207,419.80255,224.92813,302.26767,118.57246,113.27939,,173.84541,,141.97281
2022-08-19,243.04431,,229.76222,147.54059,,442.6211,,,,97.326416,277.70062,352.13504,495.02332,,199.84474,220.52115,,,64.18812,419.82617,224.09676,301.18146,118.330444,113.14901,,173.62302,,141.9736
2022-08-22,239.83073,,229.76146,147.78987,,442.50165,,,,97.22756,276.9802,349.7033,492.90646,,199.62894,219.80894,,,64.17638,419.5093,220.92534,298.37143,117.45355,112.53351,,172.90164,,141.68118
2022-08-23,239.01562,,229.68623,147.89262,,442.85812,,,,97.23482,277.31937,349.66,492.09915,,200.13277,219.02911,123.33787,158.21834,64.30105,418.81223,220.19806,301.67422,117.166084,112.4639,,172.66734,,141.42963
2022-08-24,237.56393,,229.86708,148.10742,,442.47214,,142.48975,,97.5484,277.01108,349.68274,491.6047,,200.8575,218.96292,122.2778,158.61655,64.638824,418.66513,219.28241,302.71698,117.03876,112.272514,,171.96603,,141.4538
